No,Execute date,Accuracy,Precision,Recall,F1,Record_nums,Rate_train_test,Epochs
1,20211228-16-39-42,0.5,0.5,0.5,0.5,50,0.25,20
2,20211229-13-08-57,0.909090909,0.909090909,0.909090909,0.909090909,91,0.25,20
3,20211229-13-12-35,0.863636364,0.863636364,0.863636364,0.863636364,91,0.25,20
4,20211229-13-14-07,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,91,0.25,20
5,20211229-23-20-47,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,91,0.25,20
6,20211230-01-00-40,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,141,0.25,20
7,20211230-01-10-27,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,141,0.25,20
8,20211230-01-10-34,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,141,0.25,20
9,20211230-01-11-13,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,141,0.25,20
